data_source,note,code,name,address,city,county,state,zip_code,AOR,date_of_last_use,date_of_first_use,latitude,longitude
locations.csv,"exact latitude, longitude (city)",AAORDMD,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,600 E. ORDNANCE ROAD,GLEN BURNIE,ANNE ARUNDEL,MD,21060,BAL,2004-11-17,30/10/2017,39.19969535,-76.59393033
sarahs research,Latitude Longitude based only on state,ABIRJVA,SW VIRGINIA REG JAIL AUTH-ABG FAC,,,,VA,,,,,37.7693,-78.17
locations.csv,"exact latitude, longitude (city)",ABQHOLD,ALBUQUERQUE HOLD ROOM,1720 RANDOLPH ROAD,ALBUQUERQUE,BERNALILLO,NM,87106,ELP,24/10/2017,26/05/2009,35.0526543,-106.6292985
locations.csv,"exact latitude, longitude (city)",ABRDNWA,ABERDEEN CITY JAIL,210 EAST MARKET ST,ABERDEEN,GRAYS HARBOR,WA,98520,SEA,20/09/2007,14/09/2007,46.97615215,-123.8173566
locations.csv,"exact latitude, longitude (city)",ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,1000 ACADEMY DRIVE,MORGANTOWN,BERKS,PA,19543,PHI,2004-11-17,23/05/2014,40.19177,-75.91592
locations.csv,"exact latitude, longitude (city)",ABTHOLD,ABILENE HOLD ROOM,12071 FM 3522,ABILENE,ABILENE,TX,79601,DAL,,,32.56212771,-99.63538265
locations.csv,"exact latitude, longitude (city)",ADACOID,ADA COUNTY JAIL,7210 BARRISTER DRIVE,BOISE,ADA,ID,83704,SLC,2007-09-10,28/09/1998,43.60675502,-116.269811
locations.csv,"exact latitude, longitude (city)",ADAMSCO,ADAMS COUNTY JAIL,1901 E BRIDGE STREET,BRIGHTON,ADAMS,CO,80601,DEN,20/03/2008,22/01/1991,39.986877,-104.799156
sarahs research,"exact latitude, longitude (city)",ADAMSMS,ADAMS COUNTY CORRECTIONAL CENTER,,Natchez,Adams,MS,,,,,31.5437,-91.3867
locations.csv,"exact latitude, longitude (city)",ADAMSPA,ADAMS COUNTY JAIL,45 MAJOR BELL LANE,GETTYSBURGH,ADAMS,PA,17325,PHI,,,39.85883,-77.15777
locations.csv,"exact latitude, longitude (city)",ADAMSWA,ADAMS COUNTY,210 W BRAODWAY,RITZVILLE,ADAMS,WA,99169,SEA,20/09/2012,2006-10-03,47.12747,-118.38267
locations.csv,"exact latitude, longitude (city)",ADDCOVT,ADDISON COUNTY JAIL,35 COURT STREET,MIDDLEBURY,ADDISON,VT,5753,BOS,30/01/2012,2009-02-04,44.0115189,-73.16354529
locations.csv,"exact latitude, longitude (city)",ADLNTCA,ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,SAN BERNARDINO,CA,92301,LOS,2004-11-17,29/08/2011,34.55772948,-117.4418648
sarahs research,,ADVHBCA,,,,,CA,,,,,36.1162,-119.6816
sarahs research,"exact latitude, longitude (city)",ADVHCHI,,,,,HI,,,,,21.0943,-157.4983
sarahs research,"exact latitude, longitude (city)",ADVHDCA,,,,,CA,,,,,36.1162,-119.6816
locations.csv,"exact latitude, longitude (city)",AFRC,ARTESIA FAMILY RESIDENTIAL CENTER,1300 W. RICHEY AVENUE,ARTESIA,COUNTY,NM,88210,ELP,17/12/2014,27/06/2014,32.8571484,-104.4153316
locations.csv,"exact latitude, longitude (city)",AGAHOLD,AGANA HOLD,108 Herman Cortez Ave,HagÌ´tÌ±a,GUAM,GU,96910,SFR,14/11/2016,24/03/2002,13.476607,144.747679
locations.csv,"exact latitude, longitude (city)",AGC,AGUADILLA,"Maleza Baja, Aguadilla, Puerto Rico, Aguadilla 00604Puerto Rico",AGUADILLA,AGUADILLA,PR,603,MIA,2005-08-13,7/2/87,18.49428,-67.14213
locations.csv,"exact latitude, longitude (city)",AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,ORANGE,CA,92805,LOS,2004-11-17,14/07/2015,33.8205041,-117.9096302
sarahs research,Latitude Longitude based only on state,AHGRFND,,,,,,,,,,47.5515,-101.002
locations.csv,"exact latitude, longitude (city)",AIRHOPR,AIRPORT HOTEL (SAN JUAN),LUIS MUNOZ MARIN INTR AIRPORT,ISLA VERDE,CAROLINA,PR,913,MIA,18/04/2017,24/10/1990,18.439917,-66.004817
locations.csv,"exact latitude, longitude (city)",AKCCANC,STATE CORRECTIONAL CENTER,625 C STREET,ANCHORAGE,ANCHORAGE,AK,99501,SEA,19/02/2008,24/01/1991,61.21602455,-149.884685
locations.csv,"exact latitude, longitude (city)",AKCOOKI,COOK INLET PRETRIAL (ANCHORAGE),1300 E 4TH AVENUE,ANCHORAGE,ANCHORAGE,AK,99501,SEA,25/05/2017,4/2/91,61.2185447,-149.8710002
locations.csv,"exact latitude, longitude (city)",AKFAIRB,FAIRBANKS CORRECTIONAL CENTER,1931 EAGAN STREET,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,SEA,15/03/2017,24/02/1994,64.83457376,-147.7607932
sarahs research,Latitude Longitude based only on state,AKGSCCC,GOOSE CREEK CORRECTIONAL CENTER,,,,AK,,,,,61.3707,-152.4044
locations.csv,"exact latitude, longitude (city)",AKHIGHL,HILAND MOUNTAIN CORRECTIONAL CENTER,9101 HESTERBERG ROAD,EAGLE RIVER,ANCHORAGE,AK,99577,SEA,13/03/2014,17/12/1992,61.3039289,-149.5801753
locations.csv,"exact latitude, longitude (city)",AKKETCH,KETCHIKAN REGIONAL CC,1201 SCHOENBAR ROAD,KETCHIKAN,PRINCE OF WALES -OUTER KETCHIKAN,AK,99901,SEA,2007-01-16,27/07/1991,55.348401,-131.649562
locations.csv,"exact latitude, longitude (city)",AKLEMON,LEMON CREEK,2000 LEMON CREEK ROAD,JUNEAU,JUNEAU,AK,99801,SEA,2004-12-16,17/10/1991,58.36119563,-134.4876484
locations.csv,"exact latitude, longitude (city)",AKMATSU,MAT-SU PRETRIAL,339 E. DOGWOOD,PALMER,MATANUSKA SUSITNA,AK,99645,SEA,28/10/2008,27/11/1992,61.6013708,-149.1186543
locations.csv,"exact latitude, longitude (city)",AKMCYOU,MCLAUGHLIN YOUTH CENTER,2600 PROVIDENCE DR,ANCHORAGE,ANCHORAGE,AK,99508,SEA,2005-05-10,4/5/98,61.18796856,-149.8318704
locations.csv,"exact latitude, longitude (city)",AKPALMC,PALMER CORRECTIONAL CENTER,MILE 58 GLENN HIGHWAY,PALMER,PALMER,AK,99645,SEA,2008-06-14,11/9/94,61.5876053,-149.1269534
locations.csv,"exact latitude, longitude (city)",AKPSYNJ,ANNE KLEIN PSYCHIATRIC INSTITUTE,SULLIVAN WAY,W. TRENTON,MERCER,NJ,8628,NEW,19/04/2007,20/05/2005,40.2566566,-74.8159709
locations.csv,"exact latitude, longitude (city)",AKWILCC,WILDWOOD STATE CORRECTIONAL CENTER,#10 CHUGACH AVENUE,KENAI,KENAI PENINSULA,AK,99611,SEA,2004-08-14,31/01/1994,60.58307999,-151.3001342
locations.csv,"exact latitude, longitude (city)",AKWILPT,WILDWOOD PRETRIAL FACILITY,5 CHUGACH AVENUE,KENAI,KENAI PENINSULA,AK,99611,SEA,21/01/2014,28/01/2009,60.58308555,-151.3001341
locations.csv,"exact latitude, longitude (city)",ALAMCNC,ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,ALAMANCE,NC,27253,ATL,18/09/2012,15/05/2006,36.0685551,-79.402463
sarahs research,Latitude Longitude based only on state,ALAMOTX,ALAMO POLICE DEPT.,,,,TX,,,,,31.0545,-97.5635
locations.csv,"exact latitude, longitude (city)",ALBANWY,ALBANY COUNTY JAIL,ALBANY COUNTY COURTHOUSE,LARAMIE,ALBANY,WY,82070,DEN,29/01/2008,6/2/92,41.31129205,-105.590273
locations.csv,"exact latitude, longitude (city)",ALBCONY,ALBANY COUNTY JAIL,840 ALBANY SHAKER ROAD,ALBANY,KINGS,NY,12211,BUF,2004-11-17,13/07/1988,42.75141,-73.81536
locations.csv,"exact latitude, longitude (city)",ALBEMVA,ALBEMARLE-CHARLOTTSVILLE,"160 Peregory Ln, Charlottesville, VA 22902",CHARLOTTESVILLE,ABERMARLE,VA,22901,WAS,13/08/2014,2011-12-13,38.006074,-78.494559
locations.csv,"exact latitude, longitude (city)",ALBHOLD,ALBANY HOLD ROOM,1086 TROY-SCHENECTADY RD,LATHAM,ALBANY,NY,12110,BUF,14/06/2017,25/05/2016,42.7533809,-73.769379
locations.csv,"exact latitude, longitude (city)",ALEXAVA,ALEXANDRIA CITY JAIL,2003 MILL ROAD,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,WAS,31/10/2017,28/11/1989,38.79861232,-77.06731218
locations.csv,"exact latitude, longitude (city)",ALHAMCA,ALHAMBRA CITY JAIL,211 S. FIRST ST.,ALHAMBRA,LOS ANGELES,CA,91801,LOS,2008-03-16,2009-07-08,34.09197,-118.12666
locations.csv,"exact latitude, longitude (city)",ALLEGNY,ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,ALLEGANY,NY,14813,BUF,2004-11-17,5/11/87,42.21245,-78.01715
locations.csv,"exact latitude, longitude (city)",ALLEGPA,ALLEGHENY COUNTY JAIL,950 SECOND AVENUE,PITTSBURGH,ALLEGHENY,PA,15219,PHI,30/09/2014,2/4/87,40.43458225,-79.99369316
locations.csv,"exact latitude, longitude (city)",ALMHOLD,ALAMOSA HOLDROOM,1921 STATE STREET,ALAMOSA,ALAMOSA,CO,81101,DEN,26/10/2012,26/02/2011,37.487897,-105.8597891
locations.csv,"exact latitude, longitude (city)",AMTHOLD,AMARILLO HOLD ROOM,8601 E. AMARILLO BLVD,AMARILLO,POTTER,TX,79801,DAL,2007-05-17,21/03/2013,35.22253615,-101.7488485
locations.csv,"exact latitude, longitude (city)",ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,ANCHORAGE,AK,99501,SEA,2004-11-17,10/7/88,61.2183804,-149.857649
sarahs research,"exact latitude, longitude (city)",ANCHOLD,ANCHORAGE SUB-OFFICE HOLD ROOM,,Anchorage,Anchorage,AK,,,,,61.1508,-149.1091
sarahs research,"county approximate center only (latitude, longitude)",ANDERSC,ANDERSON COUNTY DET CENTER,,,Anderson,SC,,,,,34.5211,-82.6478
locations.csv,"exact latitude, longitude (city)",ANDROME,ANDROSCOGGIN COUNTY JAIL,2 TURNER STREET,AUBURN,ANDROSCOGGIN,ME,4210,BOS,22/01/2006,23/08/1993,44.09793375,-70.22700832
locations.csv,"exact latitude, longitude (city)",ANGELTX,ANGELINA COUNTY JAIL,C.S.C. LUFKIN C.F.113 N. SECOND ST.,LUFKIN,ANGELINA,TX,75901,HOU,2007-11-04,31/03/2004,31.339888,-94.727823
locations.csv,"exact latitude, longitude (city)",ANJUVMN,ANOKA COUNTY JUVENILE,7555 4TH AVENUE,LINO LAKES,ANOKA,MN,55014,SPM,21/07/2010,28/05/1998,45.18104431,-93.12241419
sarahs research,"exact latitude, longitude (city)",ANSGHTX,,,,,TX,,,,,31.0545,-97.5635
locations.csv,"exact latitude, longitude (city)",APACHAZ,APACHE COUNTY JAIL,370 SOUTH WASHINGTON ST,ST JOHNS,APACHE,AZ,85936,PHO,2003-09-13,25/04/1993,34.50160957,-109.3644879
locations.csv,"exact latitude, longitude (city)",APIBHCA,ALVARADO PARKWAY INSTITUTE,7050 PARKWAY DR,LA MESA,SAN DIEGO,CA,91942,SND,2004-11-17,27/02/2015,32.774357,-117.0440893
locations.csv,"exact latitude, longitude (city)",APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,ALLEN,LA,70655,NOL,2004-11-17,18/05/2016,30.620368,-92.756652
locations.csv,"exact latitude, longitude (city)",ARAPACO,ARAPAHOE COUNTY JAIL,3686 SOUTH COURT PLACE,LITTLETON,ARAPAHOE,CO,80120,DEN,26/05/2008,24/11/1990,39.614347,-105.0127466
locations.csv,"exact latitude, longitude (city)",ARCHUCO,ARCHULETA COUNTY JAIL,449 SAN JUAN STREET,PAGOSA SPRINGS,ARCHULETA,CO,81147,DEN,23/09/2007,2007-09-07,37.26643892,-107.0115422
locations.csv,"exact latitude, longitude (city)",ARDCTEX,ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA),"100 NORTH STATELINE AVENUE, BOX 21",TEXARKANA,MILLER,AR,75502,NOL,24/05/2004,14/11/2001,33.42086,-94.04316
locations.csv,"exact latitude, longitude (city)",ARLCOVA,ARLINGTON COUNTY JAIL,1435 NORTH COURTHOUSE ROAD,ARLINGTON,ARLINGTON,VA,22201,WAS,2004-01-11,11/9/91,38.89054,-77.08335
locations.csv,"exact latitude, longitude (city)",AROOSME,AROOSTOOK COUNTY JAIL,15 BROADWAY,HOULTON,AROOSTOOK,ME,4730,BOS,23/01/2012,25/09/1995,46.12455726,-67.83821384
locations.csv,"exact latitude, longitude (city)",ARRMCCA,ARROWHEAD REGIONAL MED CENTER,400 N. PEPPER AVENUE,COLTON,COUNTY,CA,92324,LOS,26/10/2017,2011-06-14,34.076434,-117.352826
locations.csv,"exact latitude, longitude (city)",ASHRSFL,ATLANTIC SHORES HOSPITAL,4545 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,BROWARD,FL,33308,MIA,2008-05-17,2001-12-10,26.122524,-80.137358
locations.csv,"exact latitude, longitude (city)",ATASCTX,ATASCOSA COUNTY JAIL,C/O JAIL ADMINISTRATOR,JOURDANTON,ATASCOSA,TX,78026,SNA,2001-02-07,21/02/1997,28.91759,-98.54523
locations.csv,"exact latitude, longitude (city)",ATCHIKS,ATCHINSON COUNTY JAIL,518 PARALLEL STREET,ATCHINSON,ATCHISON,KS,66002,CHI,28/07/2004,17/09/2000,39.56583,-95.11996
locations.csv,"exact latitude, longitude (city)",ATLANGA,ATLANTA CITY DETENTION CENTER,254 PEACHTREE STREET SOUTHWEST,ATLANTA,FULTON,GA,30303,ATL,2004-11-17,17/09/1996,33.7473132,-84.39539066
locations.csv,"exact latitude, longitude (city)",ATLHOLD,ATLANTA DISTRICT HOLD ROOM,"77 FORSYTH ST., SW.",ATLANTA,FULTON,GA,30303,ATL,2004-11-17,30/03/2000,33.7531639,-84.3931588
locations.csv,"exact latitude, longitude (city)",ATTHOLD,"ATHENS, TX HOLD ROOM",109 W CORSICANA STREET,ATHENS,HENDERSON,TX,75751,DAL,,,32.20444798,-95.85398128
locations.csv,"exact latitude, longitude (city)",AUDRNMO,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,AUDRAIN,MO,65265,CHI,17/11/2004,14/01/2003,39.168771,-91.819628
locations.csv,"exact latitude, longitude (city)",AURORCO,AURORA CITY JAIL,1500 EAST ALAMEDA DRIVE,AURORA,ARAPAHOE,CO,80017,DEN,2009-04-08,29/04/1998,39.709542,-104.789661
locations.csv,"exact latitude, longitude (city)",AUSHOLD,AUSTIN DRO HOLD ROOM,300 EAST 8TH STREET,AUSTIN,TRAVIS,TX,78701,SNA,2001-08-17,25/06/2010,30.269638,-97.738978
locations.csv,"exact latitude, longitude (city)",AVPARLA,AVOYELLES PARISH PRISON,675 GOVERNMENT STREET,MARKSVILLE,AVOYELLES,LA,71351,NOL,30/08/2001,5/10/86,31.11579343,-92.06695499
locations.csv,"exact latitude, longitude (city)",AVWOMLA,AVOYELLES WOMENS CORRECTIONAL CENTER,675 GOVERNMENT ST,MARKSVILLE,AVOYELLES,LA,71351,NOL,27/05/2004,24/08/1992,31.11579343,-92.06695499
locations.csv,"exact latitude, longitude (city)",AZDCTUC,ARIZONA DEPARTMENT OF CORRECTIONS - TUSCON,10000 SOUTH WILMOT,TUCSON,PIMA,AZ,85734,PHO,17/07/1990,17/07/1990,32.06606205,-110.858774
locations.csv,"exact latitude, longitude (city)",AZSPPER,PERRYVILLE STATE PRISON,2105 NORTH CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,PHO,28/09/2016,27/12/2015,33.4632924,-112.4442216
sarahs research,Latitude Longitude based only on state,AZSVCPC,ARIZONA STATE PRISON - YUMA,,,,AZ,,,,,33.7298,-111.4312
locations.csv,"exact latitude, longitude (city)",BAILECA,GEORGE BAILEY DETENTION FACILITY,446 ALTA ROAD,SAN DIEGO,SAN DIEGO,CA,92158,SND,27/03/2017,13/09/2011,32.590244,-116.921241
locations.csv,"exact latitude, longitude (city)",BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,BAKER,FL,32063,MIA,2004-11-17,7/6/00,30.29596,-82.12172
locations.csv,"exact latitude, longitude (city)",BALDWAL,BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,BALDWIN,AL,36507,NOL,2004-11-17,20/04/2011,30.88454,-87.774769
locations.csv,"exact latitude, longitude (city)",BALHOLD,BALTIMORE DD&P,1530 CATON CENTER DRIVE,BALTIMORE,BALTIMORE,MD,21227,BAL,29/10/2017,2001-07-01,39.2554234,-76.680689
sarahs research,"exact latitude, longitude (city)",BANHOAZ,BANNER UNIVERSITY MEDICAL PHOENIX,,Phoenix,,AZ,,,,,33.5722,-112.0892
locations.csv,"exact latitude, longitude (city)",BANNOID,BANNOCK COUNTY JAIL,5800 SOUTH 5TH AVE,POCATELLO,BANNOCK,ID,83204,SLC,21/09/2010,29/01/1991,42.8389531,-112.4095475
locations.csv,"exact latitude, longitude (city)",BARNSMA,BARNSTABLE COUNTY,"ROUTE 6 COURTHOUSE COMPLEX, BOX 397",BARNSTABLE,BARNSTABLE,MA,2630,BOS,22/04/2012,24/10/2006,41.69936,-70.30434
locations.csv,"exact latitude, longitude (city)",BARRECA,BARRETT HONOR CAMP,21077 LYONS VALLEY ROAD,ALPINE,PANOLA,CA,91901,SND,2002-01-01,12/5/86,32.73011,-116.69462
sarahs research,"county approximate center only (latitude, longitude)",BARTOGA,BARTOW CO JAIL,,,Bartow,GA,,,,,34.1644,-84.8009
locations.csv,"exact latitude, longitude (city)",BASCOTX,BASTROP COUNTY JAIL,C/O JAIL ADMINISTRATOR,BASTROP,BASTROP,TX,78602,SNA,18/09/2007,27/12/1990,30.10159,-97.30862
locations.csv,"exact latitude, longitude (city)",BASILLA,SOUTH LOUISIANA DETENTION CENTER,3843 STAGG AVENUE,BASILE,EVANGELINE,LA,70515,NOL,2005-01-16,31/01/1997,30.48657659,-92.58336608
locations.csv,"exact latitude, longitude (city)",BAYAMPR,BAYAMON HOSPITAL,100 LAUREL AVENUE,BAYAMON,SANTA JUANITA,PR,956,MIA,30/08/2017,27/03/2017,18.36813,-66.1545
locations.csv,"exact latitude, longitude (city)",BAYCOFL,BAY COUNTY,5600 NEHI ROAD,PANAMA CITY,BAY,FL,32404,MIA,2009-11-04,26/01/1995,30.178565,-85.566909
sarahs research,Latitude Longitude based only on state,BBCHPMI,BRONSON BATTLE CREEK HOSP,,,,MI,,,,,43.3266,-84.5361
locations.csv,"exact latitude, longitude (city)",BEACOSD,BEADLE COUNTY,"455 4th St SW, Rm #100Huron, SD 57350",HURON,BEADLE,SD,57350,SPM,13/03/2006,10/7/95,44.362115,-98.2219523
